Назва Установи / Середньорічні показники,Напрям,Установа,Підпорядкування,Регіон,ЄДРПОУ,Область,"Сума вагових коєфіцієнтів, I*",Середній бал Експерта,Зважена сумарна оцінка (80/20),Нормована зважена сумарна оцінка,Регіональний коєфіцієнт,Коєфіцієнт руйнувань,Попередня атестаційна оцінка,Група
"Державна наукова установа ""Інститут інформації, безпеки і права Національної академії правових наук України""",Суспільний,Наукова установа,Національна академія правових наук України,інші області,25959933,Київ,13.8708,6.1333,12.3233,59.3494,1,1,59,Б
Науково-дослідний інститут правового забезпечення інноваційного розвитку Національної академії правових наук України,Суспільний,Наукова установа,Національна академія правових наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",36988898,Харківська область,12.2583,6.0477,11.0162,53.0543,1.1,1,58,Б
ІНСТИТУТ ПРОФЕСІЙНОЇ ОСВІТИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ ПЕДАГОГІЧНИХ НАУК УКРАЇНИ,Суспільний,Наукова установа,Національна академія педагогічних наук України,інші області,34288275,Київ,13.5087,6.4763,12.1022,58.2845,1,1,58,Б
Науково-дослідний інститут державного будівництва та місцевого самоврядування Національної академії правових наук України,Суспільний,Наукова установа,Національна академія правових наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",25858474,Харківська область,11.1932,7.0833,10.3712,49.948,1.1,1,55,Б
Інститут соціології НАН України,Суспільний,Наукова установа,Національна академія наук України,інші області,02030293,Київ,12.6969,5.1113,11.1798,53.8422,1,1,54,Б
УКРАЇНСЬКИЙ НАУКОВО-МЕТОДИЧНИЙ ЦЕНТР ПРАКТИЧНОЇ ПСИХОЛОГІЇ І СОЦІАЛЬНОЇ РОБОТИ,Суспільний,Наукова установа,Національна академія педагогічних наук України,інші області,30022018,Київ,11.9424,7,10.9539,52.7543,1,1,53,Б
Інститут спеціальної педагогіки і психології імені Миколи Ярмаченко Національної академії педагогічних наук України,Суспільний,Наукова установа,Національна академія педагогічних наук України,інші області,21560861,Київ,12.1715,6.2917,10.9955,52.9546,1,1,53,Б
"Національний науковий центр ""Інститут судових експертиз ім. Засл. проф. М.С. Бокаріуса""",Суспільний,Наукова установа,Міністерство юстиції України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",02883133,Харківська область,10.7887,5.2,9.671,46.5758,1.1,1,51,Б
"Державна навчально-наукова установа ""Академія фінансового управління""",Суспільний,Наукова установа,Міністерство фінансів України,інші області,35531764,Київ,10.5171,5.381,9.4899,45.7036,1,1,46,В
Науково-дослідний інститут приватного права і підприємництва імені академіка Ф.Г. Бурчака НАПрН України,Суспільний,Наукова установа,Національна академія правових наук України,інші області,19485263,Київ,10.679,5,9.5432,45.9603,1,1,46,В
Інститут землекористування НААН України,Суспільний,Наукова установа,Національна академія аграрних наук України,інші області,20589035,Київ,9.9041,6.4443,9.2121,44.3657,1,1,44,В
ІНСТИТУТ ПОЛІТИЧНИХ І ЕТНОНАЦІОНАЛЬНИХ ДОСЛІДЖЕНЬ ІМ. І.Ф. КУРАСА НАН УКРАЇНИ,Суспільний,Наукова установа,Національна академія наук України,інші області,16394076,Київ,9.5376,6.111,8.8523,42.6329,1,1,43,В
Інститут психології імені Г.С. Костюка НАПН України,Суспільний,Наукова установа,Національна академія педагогічних наук України,інші області,02141213,Київ,9.6194,5.6223,8.82,42.4774,1,1,42,В
"Державна Установа ""Інститут досліджень науково-технічного потенціалу та історії науки ім. Г.М. Доброва НАН України""",Суспільний,Наукова установа,Національна академія наук України,інші області,13694464,Київ,9.4974,4.9333,8.5846,41.3437,1,1,41,В
Науково-дослідний інститут інтелектуальної власності Національної академії правових наук України,Суспільний,Наукова установа,Національна академія правових наук України,інші області,25882308,Київ,8.8447,5.714,8.2186,39.581,1,1,40,В
Інститут проблем виховання Національної академії педагогічних наук України,Суспільний,Наукова установа,Національна академія педагогічних наук України,інші області,24592608,Київ,9.3255,4.7083,8.4021,40.4647,1,1,40,В
Інститут обдарованої дитини Національної академії педагогічних наук України,Суспільний,Наукова установа,Національна академія педагогічних наук України,інші області,35392834,Київ,8.7097,4.9523,7.9582,38.3269,1,1,38,В
Державна науково-педагогічна бібліотека України імені В.О. Сухомлинського,Суспільний,Наукова установа,Національна академія педагогічних наук України,інші області,25805035,Київ,6.8884,6.5833,6.8274,32.8809,1,1,33,В
Київський науково-дослідний інститут судових експертиз Міністерства юстиції України,Суспільний,Наукова установа,Міністерство юстиції України,інші області,02883096,Київ,6.3518,6.4,6.3614,30.6367,1,1,31,В
Інститут інноваційної біоекономіки,Суспільний,Наукова установа,Національна академія аграрних наук України,інші області,32308100,Київ,6.703,5.8333,6.5291,31.4443,1,1,31,В
Одеський науково-дослідний інститут судових експертиз Міністерства юстиції України,Суспільний,Наукова установа,Міністерство юстиції України,"Дніпропетровська, Одеська, Чернігівська область",02883110,Одеська область,5.8336,5.1333,5.6935,27.4201,1.05,1,29,В
"Видавничий дім ""Академперіодика"" Національної академії наук України",Суспільний,Наукова установа,Національна академія наук України,інші області,22927803,Київ,5.8663,5,5.693,27.4176,1,1,27,В
"Державна наукова установа ""Інститут модернізації змісту освіти""",Суспільний,Наукова установа,Міністерство освіти і науки України,інші області,39736985,Київ,4.5098,6,4.8078,23.1545,1,1,23,Г
Науково-дослідний центр судової експертизи у сфері інформаційних технологій та інтелектуальної власності Міністерства юстиції України,Суспільний,Наукова установа,Міністерство юстиції України,інші області,33499693,Київ,4.4456,4.5833,4.4731,21.5426,1,1,22,Г
Український науково-дослідний інститут продуктивності агропромислового комплексу,Суспільний,Наукова установа,Міністерство аграрної політики та продовольства України,інші області,00689160,Київ,4.7409,3.7777,4.5483,21.9047,1,1,22,Г
"Державна установа ""Центр оцінювання діяльності наукових установ та наукового забезпечення розвитку регіонів України НАН України""",Суспільний,Наукова установа,Національна академія наук України,інші області,01209280,Київ,2.0699,5,2.6559,12.7909,1,1,13,Г
"Комунальна науково-дослідна установа ""Науково-дослідний інститут соціально-економічного розвитку міста""",Суспільний,Наукова установа,Київська міська державна адміністрація,інші області,33643377,Київ,2.3165,3.5417,2.5615,12.3363,1,1,12,Г
Національний університет біоресурсів і природокористування України,Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,00493706,Київ,48.5522,6.6297,40.1677,100,1,1,100,А
Сумський національний аграрний університет,Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",04718013,Сумська область,32.4351,5.4333,27.0347,67.3046,1.1,1.009,75,А
Таврійський державний агротехнологічний університет імені Дмитра Моторного,Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",00493698,Запорізька область,30.7623,4.5237,25.5146,63.5202,1.15,1,73,Б
Миколаївський національний аграрний університет,Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",00497213,Миколаївська область,29.5358,5.0667,24.642,61.3478,1.1,1,67,Б
Національний лісотехнічний університет України,Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02070996,Львівська область,29.5051,6.1667,24.8374,61.8343,1,1,62,Б
Херсонський державний аграрно-економічний університет,Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",00493020,Херсонська область,19.1621,5.2,16.3697,40.7534,1.15,1.148,54,Б
Полтавський державний аграрний університет,Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,00493014,Полтавська область,22.1972,6.7,19.0978,47.5452,1,1,48,В
Уманський національний університет садівництва,Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,00493787,Черкаська область,22.548,5.2667,19.0917,47.53,1,1,48,В
Західноукраїнський національний університет,Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,33680120,Тернопільська область,20.7877,4.8333,17.5968,43.8083,1,1,44,В
Одеський державний аграрний університет,Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",00493008,Одеська область,19.2441,4.3667,16.2686,40.5017,1.05,1.001,43,В
Дніпровський державний аграрно-економічний університет,Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",00493675,Дніпропетровська область,15.9257,6.2777,13.9961,34.8442,1.05,1,37,В
Поліський національний університет,Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,00493681,Житомирська область,17.0376,5.3,14.6901,36.5719,1,1,37,В
Вінницький національний аграрний університет,Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,00497236,Вінницька область,15.9612,6.8667,14.1423,35.2081,1,1,35,В
Тернопільський національний технічний університет імені Івана Пулюя,Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,05408102,Тернопільська область,15.8243,4.0833,13.4761,33.5496,1,1,34,В
Білоцерківський національний аграрний університет,Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,00493712,Київська область,13.4994,6.1667,12.0329,29.9567,1,1,30,В
Національний університет водного господарства та природокористування,Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02071116,Рівненська область,8.2675,4.4667,7.5073,18.6899,1,1,19,Г
"ЗАКЛАД ВИЩОЇ ОСВІТИ ""ПОДІЛЬСЬКИЙ ДЕРЖАВНИЙ УНІВЕРСИТЕТ""",Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,22769675,Хмельницька область,7.321,5.2667,6.9101,17.2031,1,1,17,Г
Львівський національний університет ветеринарної медицини та біотехнологій імені С.З. Гжицького,Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,00492990,Львівська область,6.8159,5.2,6.4927,16.164,1,1,16,Г
Національний університет «Чернігівська політехніка»,Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",05460798,Чернігівська область,6.323,3,5.6584,14.0869,1.05,1.008,15,Г
"Державний вищий навчальний заклад ""Ужгородський національний університет""",Аграрно-ветеринарний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02070832,Закарпатська область,5.4168,5,5.3334,13.2778,1,1,13,Г
Буковинська державна сільськогосподарська дослідна станція Інституту сільського господарства Карпатського регіону Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00729868,Чернівецька область,9.808,4.5833,8.7631,33.566,1,1,34,В
Верхняцька дослідно-селекційна станція Інституту біоенергетичних культур і цукрових буряків Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00495817,Черкаська область,7.2253,5.6667,6.9136,26.4817,1,1,26,В
Волинська державна сільськогосподарська дослідна станція Інституту сільського господарства Карпатського регіону Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,13368842,Волинська область,8.7196,3.5,7.6757,29.4008,1,1,29,В
Державна дослідна станція птахівництва Інституту тваринництва Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",39217680,Харківська область,13.3755,5.111,11.7226,44.902,1.1,1,49,В
"Державна наукова установа ""Український науково-дослідний інститут прогнозування та випробовування техніки і технологій для сільськогосподарського виробництва імені Леоніда Погорілого""",Аграрно-ветеринарний,Наукова установа,Міністерство аграрної політики та продовольства України,інші області,04604309,Київська область,10.7108,5.0477,9.5782,36.6881,1,1,37,В
"Державна установа ""Інститут охорони грунтів України""",Аграрно-ветеринарний,Наукова установа,Міністерство аграрної політики та продовольства України,інші області,25835792,Київ,7.0989,5.0743,6.694,25.6405,1,1.049,27,В
Державна установа Інститут зернових культур Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"Дніпропетровська, Одеська, Чернігівська область",00496662,Дніпропетровська область,17.5148,5.2083,15.0535,57.6606,1.05,1,61,Б
Державний науково-дослідний контрольний інститут ветеринарних препаратів та кормових добавок,Аграрно-ветеринарний,Наукова установа,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,інші області,00485670,Львівська область,14.2214,4.3887,12.2549,46.9409,1,1.108,52,Б
Державний науково-дослідний інститут з лабораторної діагностики та ветеринарно-санітарної експертизи,Аграрно-ветеринарний,Наукова установа,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,інші області,00699690,Київ,26.8699,4.9667,22.4893,86.1425,1,1,86,А
Державний науково-контрольний інститут біотехнології і штамів мікроорганізмів,Аграрно-ветеринарний,Наукова установа,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,інші області,19024865,Київ,9.7087,6.2223,9.0114,34.517,1,1,35,В
Донецька державна сільськогосподарська дослідна станція Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",00729333,Донецька область,13.9359,5.7777,12.3043,47.1301,1.15,1,54,Б
Дослідна станція карантину винограду і плодових культур Інституту захисту рослин Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"Дніпропетровська, Одеська, Чернігівська область",00495102,Одеська область,8.536,4.5,7.7288,29.6042,1.05,1,31,В
Дослідна станція лікарських рослин Інституту агроекології і природокористування Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00482312,Полтавська область,7.6374,6.3333,7.3766,28.2551,1,1,28,В
Дослідна станція помології ім. Л.П. Симиренка Інституту садівництва Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00497331,Черкаська область,5.8953,5.8887,5.894,22.5762,1,1,23,Г
Миронівський інститут пшениці імені В.М. Ремесла Національна академія аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00496863,Київська область,11.6582,5.8667,10.4999,40.2186,1,1,40,В
"Національний науковий центр ""Інститут бджільництва імені П.І. Прокоповича""",Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,03079829,Київ,4.4513,5.3333,4.6277,17.7258,1,1,18,Г
"Національний науковий центр ""Інститут виноградарства і виноробства імені В.Є. Таїрова""",Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"Дніпропетровська, Одеська, Чернігівська область",05431532,Одеська область,12.4396,4.9,10.9317,41.8725,1.05,1,44,В
"Національний науковий центр ""Інститут експериментальної і клінічної ветеринарної медицини""",Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",00497087,Харківська область,27.2397,6.8333,23.1584,88.7054,1.1,1,98,А
"Національний науковий центр ""Інститут землеробства Національної академії аграрних наук України""",Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00496834,Київська область,24.4597,4.8667,20.5411,78.6801,1,1,79,А
НАЦІОНАЛЬНИЙ НАУКОВИЙ ЦЕНТР «ІНСТИТУТ ҐРУН­ТО­ЗНАВ­СТВА ТА АГРОХІМІЇ ІМЕНІ О. Н. СОКОЛОВСЬКОГО»,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",00497058,Харківська область,28.372,7.1667,24.1309,92.4304,1.1,1,100,А
Носівська селекційно-дослідна станція Миронівського інституту пшениці імені В.М. Ремесла Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"Дніпропетровська, Одеська, Чернігівська область",14244013,Чернігівська область,11.2891,5.6667,10.1646,38.9342,1.05,1,41,В
Одеська державна сільськогосподарська дослідна станція Інституту кліматично орієнтованого сільського господарства Національної академії аграрних наук,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"Дніпропетровська, Одеська, Чернігівська область",00729511,Одеська область,13.4211,6.6663,12.0701,46.233,1.05,1,49,В
"Панфильська дослідна станція Національного наукового центру ""Інститут землеробства Національної академії аграрних наук України""",Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00496871,Київська область,5.2497,5.111,5.222,20.0022,1,1,20,Г
Потавська державна сільськогосподарська дослідна станція імені М.І. Вавилова Інституту свинарства і агропромислового виробництва Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00729534,Полтавська область,6.9857,5.1667,6.6219,25.3644,1,1,25,В
Прикарпатська державна сільськогосподарська дослідна станція Інституту сільського господарства Карпатського регіону Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00704273,Івано-Франківська область,13.2314,4.611,11.5073,44.0773,1,1,44,В
Прилуцька дослідна станція Інституту садівництва Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"Дніпропетровська, Одеська, Чернігівська область",00495214,Чернігівська область,7.9895,4.111,7.2138,27.6316,1.05,1,29,В
Селекційно-генетичний інститут - Національний центр насіннєзнавства та сортовивчення,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"Дніпропетровська, Одеська, Чернігівська область",00494628,Одеська область,12.6944,7,11.5555,44.2619,1.05,1.13,53,Б
Тернопільська державна сільськогосподарська дослідна станція Інституту сільського господарства Карпатського регіону Національної академії наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,04766584,Тернопільська область,10.4025,4.9167,9.3053,35.6428,1,1,36,В
Українська науково-дослідна станція карантину рослин Інституту захисту рослин Національної академії аграрних наук,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00495832,Чернівецька область,7.066,6.6667,6.9861,26.7594,1,1,27,В
Український науково-дослідний інститут гірського лісівництва імені П.С. Пастернака,Аграрно-ветеринарний,Наукова установа,Міністерство захисту довкілля та природних ресурсів України,інші області,00994147,Івано-Франківська область,13.2634,6.0667,11.8241,45.2907,1,1,45,В
"Український ордена ""Знак Пошани"" науково-дослідний інститут лісового господарства та агролісомеліорації імені Г.М. Висоцького Державного агенства лісових ресурсів України та Національної академії наук України",Аграрно-ветеринарний,Наукова установа,Національна академія наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",00994064,Харківська область,16.1159,5.111,13.9149,53.2993,1.1,1.038,61,Б
Український інститут експертизи сортів рослин,Аграрно-ветеринарний,Наукова установа,Міністерство аграрної політики та продовольства України,інші області,00488332,Київ,12.8743,6.7,11.6394,44.5833,1,1,45,В
Устимівська дослідна станція рослинництва Інституту рослинництва імені В.Я. Юр'єва Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00497012,Полтавська область,5.0412,6.5,5.333,20.4274,1,1,20,Г
Хмельницька державна сільськогосподарська станція Інституту кормів та сільського господарства Поділля Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,21321872,Хмельницька область,3.9514,4.5557,4.0723,15.5984,1,1,16,Г
"Черкаська державна сільськогосподарська дослідна станція Національного наукового центру ""Інститут землеробства Національної академії аграрних наук України""",Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,14198402,Черкаська область,6.7425,4.4167,6.2773,24.0444,1,1,24,Г
Черкаська дослідна станція біоресурсів Національної академії наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,01598301,Черкаська область,9.6514,4,8.5211,32.639,1,1,33,В
Інститут аграрних ресурсів та регіонального розвитку Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00729391,Закарпатська область,7.4837,4.7037,6.9277,26.5357,1,1,27,В
Інститут агроекології і природокористування Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,13722479,Київ,22.4295,4.6333,18.8703,72.2803,1,1,72,Б
Інститут біоенергетичних культур і цукрових буряків Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00489780,Київ,27.2374,6.8573,23.1614,88.7169,1,1,89,А
Інститут біології тварин Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,30995014,Львівська область,19.4269,5.6667,16.6749,63.8711,1,1,64,Б
Інститут ветеринарної медицини Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,05510830,Київ,18.5045,4.3667,15.6769,60.0484,1,1,60,Б
Інститут водних проблем і меліорації Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,01018947,Київ,31.0135,6.4817,26.1071,100,1,1,100,А
ІНСТИТУТ ЗАХИСТУ РОСЛИН НАЦІОНАЛЬНОЇ АКАДЕМІЇ АГРАРНИХ НАУК УКРАЇНИ,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,05523406,Київ,21.2785,5.7667,18.1761,69.6213,1,1,70,Б
Інститут картоплярства Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00496828,Київська область,14.4499,6.7333,12.9066,49.4371,1,1,49,В
Інститут кормів та сільського господарства Поділля Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00496588,Вінницька область,17.2563,4.5557,14.7162,56.3686,1,1,56,Б
Інститут луб'яних культур Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",00497845,Сумська область,13.7945,5.3333,12.1023,46.3564,1.1,1.016,52,Б
Інститут овочівництва і баштанництва Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",00497124,Харківська область,13.9342,4.6667,12.0807,46.2736,1.1,1.008,51,Б
Інститут олійних культур Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",01296051,Запорізька область,22.3789,3.4667,18.5965,71.2316,1.1,1,78,А
Інститут рибного господарства Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,04372342,Київ,16.384,5.7667,14.2605,54.6231,1,1,55,Б
Інститут розведення і генетики тварин імені М.В. Зубця НААН,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,05408024,Київська область,15.0899,6.8333,13.4386,51.4749,1,1,51,Б
Інститут рослинництва ім. В.Я. Юр'єва Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",00497176,Харківська область,16.0976,7.1333,14.3047,54.7924,1.1,1.3,78,А
Інститут садівництва Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00413297,Київська область,20.4388,7,17.751,67.993,1,1,68,Б
Інститут свинарства і агропромислового виробництва Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00497006,Полтавська область,17.0949,4.611,14.5981,55.9162,1,1,56,Б
Інститут сільського господарства Західного Полісся Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00729600,Рівненська область,9.0122,4.4667,8.1031,31.0379,1,1,31,В
Інститут сільського господарства Карпатського регіону Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00496952,Львівська область,25.4891,4.7777,21.3468,81.7663,1,1,82,А
Інститут сільського господарства Полісся Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,05453752,Житомирська область,9.5156,5.389,8.6903,33.2871,1,1,33,В
Інститут сільського господарства Північного Сходу Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",00724927,Сумська область,12.803,5.1667,11.2757,43.1902,1.1,1,48,В
Інститут сільського господарства Степу Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,інші області,00729907,Кіровоградська область,16.2817,4.6667,13.9587,53.4671,1,1,53,Б
Інститут сільськогосподарської мікробіології та агропромислового виробництва Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"Дніпропетровська, Одеська, Чернігівська область",00497360,Чернігівська область,18.6678,4.6297,15.8602,60.7505,1.05,1.22,78,А
Інститут Тваринництва Національної академії аграрних наук України,Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",00497199,Харківська область,8.4894,5.0477,7.8011,29.8811,1.1,1,33,В
"Інститут тваринництва степових районів імені М.Ф. Іванова ""Асканія-Нова"" - Національний науковий селекційно-генетичний центр вівчарства",Аграрно-ветеринарний,Наукова установа,Національна академія аграрних наук України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",00497265,Херсонська область,6.3266,4.875,6.0363,23.1213,1.15,1,27,В
